region_nombre,Rural,Urbano,brecha
Arica y Parinacota,21.5,73.4,51.900000000000006
Tarapacá,19.4,69.4,50.00000000000001
Antofagasta,11.3,75.5,64.2
Atacama,12.9,59.7,46.800000000000004
Coquimbo,19.1,67.0,47.9
Valparaíso,26.6,68.8,42.199999999999996
Metropolitana,51.4,76.0,24.6
O'Higgins,28.6,64.5,35.9
Maule,22.3,63.1,40.8
Ñuble,16.7,59.1,42.400000000000006
Biobío,18.2,71.7,53.5
La Araucanía,14.4,60.3,45.9
Los Ríos,17.3,65.8,48.5
Los Lagos,18.4,61.0,42.6
Aysén,22.8,56.5,33.7
Magallanes,38.3,77.3,39.0
